Instrument,Total Assets,Date
DK0010207497,1536393936.1359,2018-12-31T00:00:00Z
DK0010207497,1453017111.97838,2019-12-31T00:00:00Z
DK0010207497,2313374039.78728,2020-12-31T00:00:00Z
DK0010238534,830464781.257108,2000-12-31T00:00:00Z
DK0010238534,703019772.318754,2001-12-31T00:00:00Z
DK0010238534,,2002-12-31T00:00:00Z
DK0010238534,,2003-12-31T00:00:00Z
DK0010238534,,2004-12-31T00:00:00Z
DK0010238534,,2005-12-31T00:00:00Z
DK0010238534,,2006-12-31T00:00:00Z
DK0010238534,,2007-12-31T00:00:00Z
DK0010238534,,2008-12-31T00:00:00Z
DK0010238534,,2009-12-31T00:00:00Z
DK0010238534,,2010-12-31T00:00:00Z
DK0010238534,,2011-12-31T00:00:00Z
DK0010238534,,2012-12-31T00:00:00Z
DK0010238534,,2013-12-31T00:00:00Z
DK0010238534,106760969.396306,2014-12-01T00:00:00Z
DK0010238534,139359455.843716,2017-12-31T00:00:00Z
DK0010238534,,2018-12-31T00:00:00Z
DK0010238534,,2019-12-31T00:00:00Z
DK0010238534,146818495.174316,2020-12-31T00:00:00Z
DK0010267046,2168979199.83825,2000-12-31T00:00:00Z
DK0010267046,2686518873.57699,2001-12-31T00:00:00Z
DK0010267046,3169969307.36482,2002-12-31T00:00:00Z
DK0010267046,3950502576.2311,2003-12-31T00:00:00Z
DK0010267046,5584335041.86199,2004-12-31T00:00:00Z
DK0010267046,,2005-12-01T00:00:00Z
DK0010267046,,2006-12-01T00:00:00Z
DK0010267046,,2007-12-01T00:00:00Z
DK0010267046,,2008-12-01T00:00:00Z
DK0010267046,,2009-12-01T00:00:00Z
DK0010267046,,2010-12-01T00:00:00Z
DK0010267046,,2011-12-01T00:00:00Z
DK0010267046,,2012-12-01T00:00:00Z
DK0010267046,,2013-12-01T00:00:00Z
DK0010267046,1212918580.09587,2014-12-01T00:00:00Z
DK0010267046,1038661116.49655,2015-12-01T00:00:00Z
DK0010267046,1080585293.14817,2016-12-01T00:00:00Z
